Iterasi,P20_G200_10_Customers,P20_G500_10_Customers,P20_G1000_10_Customers,P50_G200_10_Customers,P50_G500_10_Customers,P50_G1000_10_Customers,P100_G200_10_Customers,P100_G500_10_Customers,P100_G1000_10_Customers,P20_G200_20_Customers,P20_G500_20_Customers,P20_G1000_20_Customers,P50_G200_20_Customers,P50_G500_20_Customers,P50_G1000_20_Customers,P100_G200_20_Customers,P100_G500_20_Customers,P100_G1000_20_Customers,P20_G200_30_Customers,P20_G500_30_Customers,P20_G1000_30_Customers,P50_G200_30_Customers,P50_G500_30_Customers,P50_G1000_30_Customers,P100_G200_30_Customers,P100_G500_30_Customers,P100_G1000_30_Customers,P20_G200_40_Customers,P20_G500_40_Customers,P20_G1000_40_Customers,P50_G200_40_Customers,P50_G500_40_Customers,P50_G1000_40_Customers,P100_G200_40_Customers,P100_G500_40_Customers,P100_G1000_40_Customers,P20_G200_50_Customers,P20_G500_50_Customers,P20_G1000_50_Customers,P50_G200_50_Customers,P50_G500_50_Customers,P50_G1000_50_Customers,P100_G200_50_Customers,P100_G500_50_Customers,P100_G1000_50_Customers
11,0.000388188796,0.000390107535,0.000380872939,0.000409143575,0.000430502510,0.000403385950,0.000419037518,0.000431748806,0.000419131837,0.000216108144,0.000213837197,0.000211223492,0.000231383865,0.000223089160,0.000225631574,0.000245012144,0.000231715612,0.000241306407,0.000110733363,0.000108980945,0.000110449026,0.000113504188,0.000114382200,0.000111057958,0.000117078753,0.000117074889,0.000121032127,0.000065499320,0.000064192914,0.000065441306,0.000068713195,0.000068786134,0.000067903962,0.000070412088,0.000069944539,0.000071084806,0.000052824458,0.000052077524,0.000051875286,0.000054058628,0.000053533446,0.000056029072,0.000056246180,0.000056290854,0.000056048102
12,0.000393287922,0.000391189404,0.000381717822,0.000411996820,0.000435046835,0.000404707583,0.000420685736,0.000432430036,0.000421540874,0.000218206369,0.000217123678,0.000213308266,0.000233717054,0.000223998583,0.000226248253,0.000245344545,0.000232601262,0.000242473219,0.000111215243,0.000109471508,0.000110726797,0.000113706575,0.000115284243,0.000112366123,0.000118484986,0.000117333328,0.000121203969,0.000066096282,0.000064666488,0.000066202424,0.000069185941,0.000069449274,0.000067968979,0.000071143035,0.000070254297,0.000071637799,0.000053082325,0.000052786275,0.000052028451,0.000054198855,0.000053922817,0.000056440292,0.000056596232,0.000056630400,0.000056142391
13,0.000394604098,0.000391702952,0.000386037254,0.000412368335,0.000435194550,0.000405151060,0.000420822306,0.000434559845,0.000424040544,0.000219323206,0.000218956398,0.000214847315,0.000235457406,0.000226499039,0.000227061411,0.000246651933,0.000233543524,0.000244568750,0.000111215243,0.000109815864,0.000111145133,0.000113716760,0.000115853214,0.000112489333,0.000119577518,0.000117783272,0.000121631050,0.000066352044,0.000065504144,0.000067098993,0.000069331782,0.000069565006,0.000068029229,0.000071778429,0.000071338706,0.000072200632,0.000053153927,0.000052864807,0.000052103789,0.000054507810,0.000053986966,0.000056860946,0.000056909940,0.000056896817,0.000056858526
14,0.000394723914,0.000392301620,0.000388356974,0.000413071147,0.000436342539,0.000410697756,0.000421789204,0.000435263283,0.000426731393,0.000220525057,0.000221625233,0.000216426401,0.000238477577,0.000229380523,0.000228484793,0.000248535352,0.000234733897,0.000246215115,0.000111364422,0.000109903257,0.000112658870,0.000114295962,0.000116305204,0.000112775034,0.000119719125,0.000118229520,0.000122469465,0.000066462709,0.000065893940,0.000067398571,0.000069591410,0.000069964721,0.000068150317,0.000072054499,0.000071621042,0.000072659094,0.000053461363,0.000053012979,0.000052274763,0.000054585820,0.000054080005,0.000057027309,0.000057140772,0.000056904563,0.000056933830
15,0.000395235404,0.000395368533,0.000390114290,0.000413773179,0.000437014090,0.000411525319,0.000424571096,0.000435451036,0.000428832522,0.000222672268,0.000222377213,0.000217342399,0.000239478845,0.000232098423,0.000229293342,0.000249367816,0.000237401710,0.000247778195,0.000111427972,0.000110581230,0.000113138845,0.000114348072,0.000116571574,0.000113284975,0.000120526491,0.000118229520,0.000122717461,0.000066965457,0.000066129490,0.000067502095,0.000069776813,0.000070263980,0.000068310161,0.000072409369,0.000071740660,0.000072937767,0.000053503670,0.000053012979,0.000052296001,0.000054632394,0.000054279617,0.000057032211,0.000057215606,0.000056999815,0.000057112970
16,0.000395796204,0.000396854596,0.000393261921,0.000414467639,0.000437059566,0.000413227367,0.000426014567,0.000436133989,0.000431836852,0.000224425775,0.000223048290,0.000218784322,0.000240014937,0.000234065446,0.000230808283,0.000250285711,0.000239669149,0.000248634066,0.000111619693,0.000110964049,0.000113420898,0.000115075651,0.000117127981,0.000113507940,0.000120663233,0.000118372926,0.000123731613,0.000067212369,0.000066256981,0.000067637978,0.000070013874,0.000070717649,0.000069053645,0.000072458998,0.000072140082,0.000073806809,0.000053797815,0.000053154147,0.000052330548,0.000054745912,0.000054326814,0.000057032211,0.000057221387,0.000057082909,0.000057158830
17,0.000396653579,0.000397296368,0.000394844197,0.000415268613,0.000437059566,0.000413535821,0.000426995413,0.000437821071,0.000432424064,0.000224784696,0.000223483895,0.000219252815,0.000241767999,0.000236248735,0.000232025188,0.000252651621,0.000241142209,0.000249117063,0.000112048151,0.000111388441,0.000113806538,0.000115358192,0.000117841248,0.000113705177,0.000122044797,0.000119413838,0.000124141830,0.000067264233,0.000066314934,0.000067728152,0.000070596902,0.000071252851,0.000069406694,0.000072893032,0.000072260295,0.000074227436,0.000053875093,0.000053216806,0.000052683129,0.000054777909,0.000054408731,0.000057167730,0.000057564769,0.000057183353,0.000057180661
18,0.000399324215,0.000399853262,0.000395336286,0.000415533262,0.000437641142,0.000413915761,0.000427679953,0.000439340591,0.000434587885,0.000226025325,0.000223543435,0.000220646291,0.000243873571,0.000237302172,0.000233176305,0.000254102109,0.000241774501,0.000249298548,0.000112223028,0.000111424300,0.000114603732,0.000115549412,0.000118729632,0.000114040397,0.000122395254,0.000120114739,0.000124226012,0.000067754591,0.000066459123,0.000068177067,0.000070702692,0.000071440692,0.000069616212,0.000073245027,0.000072686344,0.000074777248,0.000054252336,0.000053230199,0.000052837114,0.000054941180,0.000054673207,0.000057263212,0.000057651450,0.000057197366,0.000057209181
19,0.000400105554,0.000399869309,0.000395786451,0.000415703293,0.000438092951,0.000416111156,0.000427703977,0.000439548351,0.000434587885,0.000226920734,0.000224157784,0.000221338957,0.000244219944,0.000238089964,0.000233900681,0.000255091725,0.000244077947,0.000250910647,0.000112557544,0.000112124079,0.000115216721,0.000115679047,0.000119377596,0.000114599936,0.000123137931,0.000120786853,0.000124648231,0.000068032548,0.000066459123,0.000068738785,0.000070882904,0.000071617552,0.000069894694,0.000073278776,0.000072803289,0.000074933724,0.000054252336,0.000053308983,0.000052958277,0.000055234491,0.000054694927,0.000057382511,0.000057651450,0.000057240061,0.000057227045
20,0.000401051154,0.000399869309,0.000395786451,0.000416098919,0.000440249641,0.000418385168,0.000427703977,0.000440086925,0.000434587885,0.000227896746,0.000224666062,0.000222538592,0.000245426248,0.000238951189,0.000236793090,0.000256123298,0.000245967203,0.000252334318,0.000112920109,0.000112366563,0.000115808477,0.000115954422,0.000119771531,0.000115148206,0.000123487520,0.000121041074,0.000124904537,0.000068117851,0.000066833977,0.000069125177,0.000071028948,0.000071874208,0.000070253267,0.000073448091,0.000073061567,0.000075062758,0.000054633028,0.000053341152,0.000053207533,0.000055406272,0.000054937203,0.000057559643,0.000057784413,0.000057464542,0.000057344365
