No,Dataset,PopSize,MaxIter,Fitness,TotalDistance,TotalEnergy,RechargeCount,Feasible,Route
30,40_Customers,20,1000,0.000078,643.29,12865.83,3,YA,"V0(Depot) -> V29 -> V10 -> V34 -> V27 -> V2 -> V5 -> V21 -> CS1 -> V37 -> V16 -> V33 -> V28 -> V15 -> V23 -> V22 -> V8 -> V11 -> V7 -> V31 -> CS2 -> V3 -> V6 -> V4 -> V18 -> V36 -> V9 -> V17 -> V35 -> V32 -> V14 -> V26 -> V19 -> V40 -> V20 -> CS4 -> V12 -> V13 -> V38 -> V30 -> V25 -> V39 -> V24 -> V1 -> V0(Depot)"
31,40_Customers,50,200,0.000069,727.19,14543.86,3,YA,"V0(Depot) -> V34 -> V10 -> V29 -> V2 -> V27 -> V3 -> V6 -> V31 -> CS2 -> V1 -> V30 -> V25 -> V39 -> V24 -> V5 -> V21 -> V35 -> V17 -> V23 -> V15 -> CS3 -> V37 -> V33 -> V16 -> V28 -> V22 -> V36 -> V18 -> V8 -> V7 -> V11 -> CS5 -> V4 -> V9 -> V12 -> V13 -> V38 -> V20 -> V14 -> V26 -> V19 -> V32 -> V40 -> V0(Depot)"
32,40_Customers,50,500,0.000076,656.31,13126.14,3,YA,"V0(Depot) -> V40 -> V32 -> V21 -> V5 -> V29 -> V10 -> V34 -> V27 -> V2 -> V3 -> V31 -> V6 -> CS2 -> V7 -> V11 -> V8 -> V18 -> V22 -> V23 -> V15 -> V28 -> V33 -> V16 -> V37 -> CS3 -> V9 -> V4 -> V36 -> V35 -> V17 -> V14 -> V26 -> V19 -> V20 -> V12 -> CS4 -> V13 -> V38 -> V30 -> V25 -> V39 -> V24 -> V1 -> V0(Depot)"
33,40_Customers,50,1000,0.000080,625.29,12505.84,3,YA,"V0(Depot) -> V20 -> V12 -> V13 -> V38 -> V30 -> V25 -> V39 -> V10 -> V34 -> V27 -> V3 -> V31 -> V6 -> CS2 -> V18 -> V36 -> V8 -> V11 -> V7 -> V4 -> V9 -> V35 -> CS1 -> V26 -> V19 -> V40 -> V32 -> V14 -> V16 -> V37 -> V33 -> V28 -> V15 -> V23 -> V22 -> CS3 -> V17 -> V21 -> V5 -> V2 -> V29 -> V24 -> V1 -> V0(Depot)"
34,40_Customers,100,200,0.000068,735.61,14712.20,3,YA,"V0(Depot) -> V35 -> V5 -> V34 -> V27 -> V2 -> V21 -> V6 -> V4 -> V36 -> V9 -> V31 -> CS2 -> V22 -> V23 -> V15 -> V17 -> V18 -> V7 -> V11 -> V8 -> CS2 -> V3 -> V10 -> V29 -> V1 -> V24 -> V25 -> V39 -> V30 -> V38 -> V13 -> V12 -> V20 -> CS4 -> V32 -> V14 -> V16 -> V37 -> V33 -> V28 -> V26 -> V19 -> V40 -> V0(Depot)"
35,40_Customers,100,500,0.000086,580.28,11605.64,2,YA,"V0(Depot) -> V40 -> V32 -> V14 -> V19 -> V26 -> V16 -> V37 -> V33 -> V28 -> V23 -> V22 -> V15 -> V17 -> V35 -> CS1 -> V21 -> V5 -> V29 -> V2 -> V27 -> V31 -> V11 -> V7 -> V8 -> V36 -> V18 -> V9 -> V4 -> CS2 -> V6 -> V3 -> V34 -> V10 -> V39 -> V25 -> V24 -> V1 -> V30 -> V38 -> V13 -> V12 -> V20 -> V0(Depot)"
36,40_Customers,100,1000,0.000081,614.85,12296.97,3,YA,"V0(Depot) -> V13 -> V38 -> V30 -> V25 -> V39 -> V24 -> V1 -> V29 -> V10 -> V27 -> V6 -> CS2 -> V7 -> V11 -> V8 -> V36 -> V9 -> V4 -> V21 -> V5 -> V2 -> V34 -> V3 -> V31 -> CS2 -> V18 -> V22 -> V23 -> V28 -> V33 -> V16 -> V37 -> V15 -> V17 -> V35 -> CS1 -> V40 -> V32 -> V14 -> V19 -> V26 -> V20 -> V12 -> V0(Depot)"
37,50_Customers,20,200,0.000040,1259.08,25181.57,6,YA,"V0(Depot) -> V26 -> V15 -> V21 -> V16 -> V47 -> V41 -> CS6 -> V13 -> V28 -> V23 -> V7 -> V11 -> V44 -> V33 -> V10 -> V5 -> V1 -> V20 -> CS2 -> V18 -> V36 -> V40 -> V8 -> V43 -> V37 -> V27 -> V38 -> V9 -> CS3 -> V45 -> V25 -> V50 -> V35 -> V32 -> V42 -> CS4 -> V34 -> V14 -> V30 -> V49 -> V17 -> V22 -> V2 -> CS6 -> V4 -> V24 -> V12 -> V29 -> V19 -> V6 -> V48 -> V3 -> CS4 -> V31 -> V46 -> V39 -> V0(Depot)"
38,50_Customers,20,500,0.000049,1014.03,20280.59,5,YA,"V0(Depot) -> V38 -> V27 -> V43 -> V8 -> V39 -> V1 -> V46 -> V37 -> CS1 -> V44 -> V7 -> V10 -> V33 -> V11 -> V18 -> V14 -> V2 -> CS2 -> V40 -> V23 -> V5 -> V49 -> V20 -> V36 -> V28 -> V13 -> V17 -> V16 -> CS5 -> V21 -> V47 -> V24 -> V26 -> V15 -> V31 -> V12 -> V34 -> V42 -> V32 -> CS4 -> V19 -> V30 -> V22 -> V41 -> V35 -> V6 -> V50 -> V4 -> CS6 -> V29 -> V45 -> V25 -> V48 -> V3 -> V9 -> V0(Depot)"
39,50_Customers,20,1000,0.000060,826.96,16539.20,4,YA,"V0(Depot) -> V9 -> V30 -> V14 -> V31 -> V15 -> V26 -> V24 -> V34 -> V35 -> V32 -> CS4 -> V19 -> V50 -> V45 -> V25 -> V3 -> V48 -> V6 -> V42 -> V29 -> V4 -> V41 -> V2 -> CS6 -> V47 -> V16 -> V21 -> V17 -> V13 -> V12 -> V22 -> CS2 -> V44 -> V40 -> V36 -> V7 -> V10 -> V33 -> V11 -> V23 -> V5 -> V20 -> V1 -> V18 -> V28 -> CS2 -> V49 -> V46 -> V39 -> V8 -> V43 -> V27 -> V38 -> V37 -> V0(Depot)"
40,50_Customers,50,200,0.000048,1036.87,20737.36,5,YA,"V0(Depot) -> V19 -> V31 -> V34 -> V41 -> V4 -> V35 -> V2 -> CS6 -> V47 -> V21 -> V12 -> V14 -> V13 -> V18 -> V11 -> CS1 -> V37 -> V46 -> V22 -> V29 -> V6 -> V50 -> V32 -> V42 -> CS4 -> V45 -> V25 -> V3 -> V48 -> V24 -> V26 -> V15 -> V16 -> V28 -> CS5 -> V17 -> V49 -> V1 -> V5 -> V40 -> V36 -> V7 -> V10 -> V33 -> V44 -> V23 -> V20 -> V39 -> CS3 -> V30 -> V9 -> V38 -> V8 -> V43 -> V27 -> V0(Depot)"
41,50_Customers,50,500,0.000055,910.42,18208.33,5,YA,"V0(Depot) -> V22 -> V4 -> V41 -> V14 -> V47 -> V21 -> V16 -> V17 -> CS2 -> V18 -> V36 -> V11 -> V10 -> V7 -> V23 -> V40 -> V5 -> V20 -> V1 -> V49 -> V28 -> V13 -> CS2 -> V46 -> V30 -> V9 -> V19 -> V48 -> V3 -> V25 -> V45 -> V32 -> CS4 -> V6 -> V29 -> V2 -> V12 -> V31 -> V15 -> V26 -> V24 -> V34 -> V35 -> V42 -> CS4 -> V50 -> V37 -> V39 -> V44 -> V33 -> CS1 -> V27 -> V8 -> V43 -> V38 -> V0(Depot)"
42,50_Customers,50,1000,0.000062,806.40,16127.92,4,YA,"V0(Depot) -> V29 -> V35 -> V34 -> V24 -> V26 -> V15 -> V47 -> V21 -> V31 -> V2 -> CS6 -> V14 -> V20 -> V5 -> V40 -> V36 -> V23 -> V11 -> V7 -> V10 -> V33 -> V44 -> CS1 -> V8 -> V43 -> V27 -> V38 -> V39 -> V37 -> V46 -> V1 -> V49 -> V17 -> V13 -> CS2 -> V18 -> V28 -> V16 -> V12 -> V22 -> V41 -> V4 -> V42 -> V32 -> CS4 -> V50 -> V45 -> V25 -> V3 -> V48 -> V6 -> V19 -> V30 -> V9 -> V0(Depot)"
43,50_Customers,100,200,0.000046,1075.47,21509.40,5,YA,"V0(Depot) -> V43 -> V8 -> V27 -> V20 -> V49 -> V36 -> V18 -> CS2 -> V16 -> V21 -> V26 -> V47 -> V24 -> V34 -> V22 -> CS6 -> V30 -> V46 -> V14 -> V35 -> V4 -> V32 -> V42 -> CS4 -> V6 -> V50 -> V29 -> V45 -> V25 -> V3 -> V48 -> V19 -> V9 -> CS3 -> V2 -> V41 -> V12 -> V15 -> V31 -> V17 -> V28 -> V13 -> CS2 -> V1 -> V5 -> V40 -> V10 -> V33 -> V11 -> V23 -> V7 -> V44 -> V39 -> V37 -> V38 -> V0(Depot)"
44,50_Customers,100,500,0.000059,854.35,17087.02,4,YA,"V0(Depot) -> V35 -> V4 -> V12 -> V14 -> V22 -> V17 -> V28 -> V13 -> CS2 -> V18 -> V36 -> V40 -> V23 -> V11 -> V7 -> V10 -> V33 -> V44 -> V5 -> V20 -> V1 -> V49 -> CS1 -> V27 -> V37 -> V39 -> V8 -> V43 -> V38 -> V9 -> V19 -> V6 -> V29 -> V2 -> V41 -> CS6 -> V24 -> V26 -> V15 -> V47 -> V21 -> V16 -> V31 -> V34 -> V42 -> V32 -> CS4 -> V50 -> V3 -> V25 -> V45 -> V48 -> V30 -> V46 -> V0(Depot)"
45,50_Customers,100,1000,0.000064,787.06,15741.12,4,YA,"V0(Depot) -> V30 -> V19 -> V48 -> V3 -> V25 -> V45 -> V50 -> V32 -> V42 -> V35 -> V41 -> V2 -> V14 -> CS2 -> V28 -> V16 -> V21 -> V47 -> V15 -> V26 -> V24 -> V31 -> V12 -> V17 -> V13 -> CS2 -> V6 -> V29 -> V34 -> V4 -> V22 -> V49 -> CS2 -> V18 -> V36 -> V7 -> V10 -> V33 -> V11 -> V23 -> V44 -> V40 -> V5 -> V20 -> V1 -> V46 -> V9 -> CS3 -> V37 -> V39 -> V8 -> V43 -> V27 -> V38 -> V0(Depot)"
