Iterasi,P20_G200_10_Customers,P20_G500_10_Customers,P20_G1000_10_Customers,P50_G200_10_Customers,P50_G500_10_Customers,P50_G1000_10_Customers,P100_G200_10_Customers,P100_G500_10_Customers,P100_G1000_10_Customers,P20_G200_20_Customers,P20_G500_20_Customers,P20_G1000_20_Customers,P50_G200_20_Customers,P50_G500_20_Customers,P50_G1000_20_Customers,P100_G200_20_Customers,P100_G500_20_Customers,P100_G1000_20_Customers,P20_G200_30_Customers,P20_G500_30_Customers,P20_G1000_30_Customers,P50_G200_30_Customers,P50_G500_30_Customers,P50_G1000_30_Customers,P100_G200_30_Customers,P100_G500_30_Customers,P100_G1000_30_Customers,P20_G200_40_Customers,P20_G500_40_Customers,P20_G1000_40_Customers,P50_G200_40_Customers,P50_G500_40_Customers,P50_G1000_40_Customers,P100_G200_40_Customers,P100_G500_40_Customers,P100_G1000_40_Customers,P20_G200_50_Customers,P20_G500_50_Customers,P20_G1000_50_Customers,P50_G200_50_Customers,P50_G500_50_Customers,P50_G1000_50_Customers,P100_G200_50_Customers,P100_G500_50_Customers,P100_G1000_50_Customers
23,0.000482838886,0.000482401662,0.000481358916,0.000489044914,0.000485325633,0.000485558087,0.000491749730,0.000488679163,0.000488994405,0.000335973686,0.000326942626,0.000329904884,0.000362203499,0.000369222899,0.000362803746,0.000386265830,0.000386929516,0.000387243487,0.000166312425,0.000154721056,0.000163516673,0.000188212440,0.000188733193,0.000183894245,0.000202846945,0.000198216511,0.000197707200,0.000094113533,0.000093563461,0.000093495488,0.000106276403,0.000102876448,0.000105066197,0.000119572275,0.000115326773,0.000114326303,0.000071150134,0.000070047257,0.000071161178,0.000077142583,0.000075980164,0.000079823675,0.000083420389,0.000083683468,0.000083815363
24,0.000482838886,0.000483333160,0.000481358916,0.000489044914,0.000485325633,0.000485558087,0.000491749730,0.000488679163,0.000488994405,0.000338450853,0.000328697096,0.000332938172,0.000363813685,0.000370806315,0.000365996287,0.000388098408,0.000387762698,0.000388132957,0.000169113077,0.000155196182,0.000164629090,0.000189833248,0.000191594424,0.000185517473,0.000204541739,0.000199722011,0.000200223700,0.000094770311,0.000094268557,0.000094267408,0.000107255716,0.000103115884,0.000105946965,0.000120420160,0.000116770136,0.000115434539,0.000072135009,0.000070564372,0.000072107420,0.000077756977,0.000076487543,0.000080424795,0.000083991580,0.000084310534,0.000084842253
25,0.000482838886,0.000483798998,0.000481358916,0.000489044914,0.000485791471,0.000485558087,0.000491749730,0.000488679163,0.000488994405,0.000340016957,0.000329981805,0.000337363998,0.000367517019,0.000372976873,0.000368120751,0.000392151787,0.000391826418,0.000389575900,0.000170262731,0.000157438504,0.000166140597,0.000191969902,0.000192714814,0.000187497007,0.000206456195,0.000201088661,0.000203104358,0.000095525985,0.000095191972,0.000095571684,0.000108548992,0.000104621069,0.000107158447,0.000121316678,0.000117711222,0.000116399797,0.000073004868,0.000070905430,0.000072893242,0.000078134639,0.000077341946,0.000081170708,0.000085050808,0.000085289506,0.000085770334
26,0.000482838886,0.000483798998,0.000481358916,0.000489044914,0.000485791471,0.000486056205,0.000491749730,0.000488679163,0.000488994405,0.000340922219,0.000331771420,0.000339009622,0.000369365366,0.000373460837,0.000370104191,0.000393546314,0.000392838997,0.000391527655,0.000173249868,0.000158908137,0.000167406455,0.000193471070,0.000194511689,0.000189431282,0.000208955662,0.000203988757,0.000204206391,0.000097058814,0.000096291896,0.000096586440,0.000110011914,0.000105843369,0.000108221726,0.000122045202,0.000118911178,0.000117176046,0.000073569801,0.000071261862,0.000073362198,0.000078721940,0.000077873131,0.000082035086,0.000085832346,0.000086415920,0.000086707261
27,0.000482853643,0.000483798998,0.000481358916,0.000489044914,0.000486006100,0.000486869566,0.000491749730,0.000488679163,0.000489009162,0.000343082893,0.000335652986,0.000341199990,0.000374314856,0.000376540281,0.000371115020,0.000394630410,0.000393752452,0.000392501602,0.000173448353,0.000160069204,0.000170020426,0.000195922850,0.000197114643,0.000190541832,0.000210202488,0.000205784336,0.000206040335,0.000098147851,0.000097364557,0.000097197645,0.000110325331,0.000106701315,0.000109167250,0.000122830970,0.000119564334,0.000118054713,0.000074277759,0.000071371390,0.000073946546,0.000080299750,0.000078869630,0.000082702573,0.000086863126,0.000087590460,0.000087455397
28,0.000482853643,0.000484114241,0.000481358916,0.000489044914,0.000486006100,0.000486884322,0.000491749730,0.000488679163,0.000489807766,0.000345191723,0.000336429002,0.000341905729,0.000376491082,0.000377713202,0.000374014662,0.000395170539,0.000394175400,0.000393561431,0.000174055017,0.000161577173,0.000171451588,0.000197006427,0.000198071593,0.000191771620,0.000211475797,0.000206898323,0.000207983286,0.000099193822,0.000097954203,0.000097898871,0.000111477577,0.000107521786,0.000109948489,0.000123788439,0.000120572079,0.000119425540,0.000074569970,0.000072170062,0.000074567078,0.000081215951,0.000079593115,0.000083463913,0.000088069307,0.000088518707,0.000088036054
29,0.000483652247,0.000484114241,0.000481358916,0.000489059671,0.000486006100,0.000487682926,0.000492064973,0.000488679163,0.000489807766,0.000347751229,0.000338396993,0.000344493490,0.000378237835,0.000378008513,0.000374526543,0.000395980644,0.000394492381,0.000394811608,0.000175517442,0.000163041817,0.000172405989,0.000199111596,0.000199949842,0.000192528884,0.000212876717,0.000209333058,0.000209284268,0.000099697173,0.000098214197,0.000098618031,0.000112818880,0.000108161244,0.000110991245,0.000124880101,0.000121196765,0.000120173693,0.000075072056,0.000072335625,0.000074812120,0.000081882531,0.000079973896,0.000084167036,0.000088568925,0.000089238576,0.000088696043
30,0.000483652247,0.000484114241,0.000481358916,0.000489858275,0.000486006100,0.000487682926,0.000492064973,0.000488679163,0.000489807766,0.000348068724,0.000341689701,0.000346122589,0.000379496906,0.000380020261,0.000379061212,0.000396759567,0.000395248595,0.000395360229,0.000176545927,0.000164321435,0.000175337929,0.000201437058,0.000200662889,0.000193829917,0.000215141540,0.000213084932,0.000211943103,0.000100411849,0.000099057520,0.000099675566,0.000113884153,0.000108574436,0.000112183676,0.000126123193,0.000122454883,0.000121098764,0.000075339014,0.000073457664,0.000075672992,0.000082274263,0.000080284921,0.000084674319,0.000089440094,0.000089957783,0.000089538457
31,0.000483652247,0.000484114241,0.000481358916,0.000489858275,0.000486006100,0.000487682926,0.000492064973,0.000488679163,0.000489807766,0.000350948148,0.000343833818,0.000348748114,0.000382207618,0.000382019793,0.000381174462,0.000397651413,0.000395371737,0.000396727617,0.000177461487,0.000165596908,0.000176793681,0.000202111028,0.000202187585,0.000195446878,0.000216238339,0.000215116511,0.000213531771,0.000101704099,0.000100256727,0.000100885064,0.000115250425,0.000109760065,0.000112722980,0.000126704193,0.000123614720,0.000122255488,0.000076002302,0.000074184541,0.000076333713,0.000083192658,0.000080881638,0.000085044558,0.000089958377,0.000090968545,0.000090491370
32,0.000483652247,0.000484114241,0.000481358916,0.000489858275,0.000486138994,0.000487697683,0.000492064973,0.000488679163,0.000489807766,0.000353096560,0.000345247261,0.000349894250,0.000382552401,0.000382267734,0.000383434866,0.000397994483,0.000395582070,0.000397137589,0.000178998018,0.000166496380,0.000177654597,0.000203253396,0.000203839808,0.000197040356,0.000219612590,0.000216779965,0.000214482368,0.000102357786,0.000100577411,0.000101525327,0.000115997344,0.000110491838,0.000113464747,0.000127353533,0.000124690262,0.000122957237,0.000076992227,0.000075015875,0.000076493223,0.000083646537,0.000081563582,0.000085811898,0.000090764544,0.000092491001,0.000091019953
