Iterasi,P20_G200_10_Customers,P20_G500_10_Customers,P20_G1000_10_Customers,P50_G200_10_Customers,P50_G500_10_Customers,P50_G1000_10_Customers,P100_G200_10_Customers,P100_G500_10_Customers,P100_G1000_10_Customers,P20_G200_20_Customers,P20_G500_20_Customers,P20_G1000_20_Customers,P50_G200_20_Customers,P50_G500_20_Customers,P50_G1000_20_Customers,P100_G200_20_Customers,P100_G500_20_Customers,P100_G1000_20_Customers,P20_G200_30_Customers,P20_G500_30_Customers,P20_G1000_30_Customers,P50_G200_30_Customers,P50_G500_30_Customers,P50_G1000_30_Customers,P100_G200_30_Customers,P100_G500_30_Customers,P100_G1000_30_Customers,P20_G200_40_Customers,P20_G500_40_Customers,P20_G1000_40_Customers,P50_G200_40_Customers,P50_G500_40_Customers,P50_G1000_40_Customers,P100_G200_40_Customers,P100_G500_40_Customers,P100_G1000_40_Customers,P20_G200_50_Customers,P20_G500_50_Customers,P20_G1000_50_Customers,P50_G200_50_Customers,P50_G500_50_Customers,P50_G1000_50_Customers,P100_G200_50_Customers,P100_G500_50_Customers,P100_G1000_50_Customers
21,0.000431603301,0.000429123238,0.000428713437,0.000453324286,0.000452248165,0.000459752789,0.000469204929,0.000469106784,0.000473305828,0.000246143083,0.000240026673,0.000240371704,0.000269393371,0.000265431244,0.000263391205,0.000272301412,0.000267998600,0.000267023352,0.000125460451,0.000127092697,0.000125817447,0.000134417265,0.000132689056,0.000134437611,0.000131065511,0.000132033494,0.000132922418,0.000076560986,0.000075552955,0.000075378435,0.000078539431,0.000080007426,0.000078223036,0.000076856699,0.000078054034,0.000079018092,0.000060553048,0.000058575545,0.000059491284,0.000061683614,0.000061765760,0.000061969011,0.000061921936,0.000063123991,0.000060664203
22,0.000434257175,0.000432862795,0.000429413343,0.000455472929,0.000455147746,0.000461088858,0.000469204929,0.000474082159,0.000474596118,0.000246854016,0.000240451976,0.000241030260,0.000272113075,0.000267758274,0.000265895522,0.000272399175,0.000269675576,0.000269363506,0.000125857220,0.000128131423,0.000126735352,0.000134997472,0.000133788301,0.000134873998,0.000132124062,0.000132475888,0.000134471797,0.000076996329,0.000075931345,0.000075989510,0.000079258783,0.000081391103,0.000078532028,0.000077400805,0.000078222177,0.000079608473,0.000060879940,0.000058799332,0.000060267620,0.000062189051,0.000062403591,0.000062512576,0.000062248539,0.000063664029,0.000060893535
23,0.000437211873,0.000433250385,0.000435792755,0.000458206909,0.000456185491,0.000462880616,0.000471193233,0.000474997681,0.000474866457,0.000248906853,0.000242734120,0.000242375442,0.000275641140,0.000270444054,0.000268635513,0.000273390017,0.000270195426,0.000270346132,0.000126137285,0.000129198281,0.000127654044,0.000135576839,0.000134745020,0.000135536152,0.000133333660,0.000134446090,0.000135744467,0.000077587428,0.000076753143,0.000076822251,0.000079943629,0.000081749910,0.000079291889,0.000077637818,0.000078508324,0.000080230168,0.000061064254,0.000059151148,0.000060845427,0.000062652396,0.000062970753,0.000063055681,0.000062436477,0.000063954466,0.000061223037
24,0.000440575395,0.000435976981,0.000436738467,0.000464040823,0.000459949491,0.000464998808,0.000472006594,0.000476618674,0.000475716088,0.000250782513,0.000244652309,0.000244318380,0.000277521588,0.000273881334,0.000270059147,0.000274811807,0.000271674143,0.000272038925,0.000126515543,0.000129974221,0.000127784195,0.000136390455,0.000135627112,0.000136351757,0.000133623770,0.000135117916,0.000136758794,0.000077715783,0.000077378358,0.000077042438,0.000080498793,0.000082174460,0.000080333572,0.000078909979,0.000079085419,0.000081008318,0.000061299928,0.000059534744,0.000061225501,0.000062938582,0.000063686346,0.000063271406,0.000062717225,0.000064163167,0.000061568989
25,0.000443929122,0.000436271488,0.000438516280,0.000464554708,0.000460533589,0.000466261275,0.000474608613,0.000477392157,0.000476022900,0.000253433989,0.000245879793,0.000244950963,0.000279670481,0.000276691083,0.000271158684,0.000275181443,0.000272634477,0.000272784317,0.000127048787,0.000130440031,0.000128566870,0.000138240312,0.000137220739,0.000137111767,0.000135671642,0.000135633107,0.000137063475,0.000078168670,0.000078207116,0.000077712963,0.000081605248,0.000082665004,0.000080983469,0.000079287557,0.000079565761,0.000081430534,0.000061599173,0.000059723977,0.000061591336,0.000063081156,0.000064197947,0.000063754301,0.000062957373,0.000064485985,0.000061838687
26,0.000445786895,0.000436638581,0.000441053559,0.000467446648,0.000462216009,0.000467183201,0.000475540289,0.000477592030,0.000477069559,0.000254738210,0.000247888677,0.000248382554,0.000280721092,0.000279571149,0.000272575433,0.000275305812,0.000274028350,0.000274396544,0.000128539207,0.000130890224,0.000129935908,0.000139236057,0.000137772154,0.000138239514,0.000136761629,0.000135991918,0.000138480106,0.000078762740,0.000078694162,0.000078026612,0.000082129319,0.000083606570,0.000081351259,0.000079698088,0.000079878106,0.000081967044,0.000062010243,0.000060110851,0.000061978719,0.000063597447,0.000064787807,0.000064282037,0.000063251472,0.000064860557,0.000062509393
27,0.000446727207,0.000438338835,0.000442860432,0.000472041224,0.000462708195,0.000467316095,0.000477000594,0.000478880631,0.000477069559,0.000255889156,0.000248823285,0.000249101089,0.000283693833,0.000281616495,0.000274171145,0.000277146983,0.000275550897,0.000274803524,0.000130027571,0.000131532784,0.000130441457,0.000140003467,0.000139581512,0.000139591295,0.000137246054,0.000136688294,0.000138584008,0.000079261377,0.000078921917,0.000079013958,0.000082425142,0.000084102184,0.000081981341,0.000080073444,0.000080329545,0.000082850575,0.000062434528,0.000060207252,0.000062243102,0.000063851192,0.000064907845,0.000064633393,0.000063327523,0.000065114919,0.000062668415
28,0.000448206741,0.000440806269,0.000443715170,0.000472798354,0.000464320433,0.000467458378,0.000477000594,0.000479218008,0.000477562664,0.000257358363,0.000251004721,0.000250279556,0.000285266425,0.000283617516,0.000275335335,0.000278300373,0.000278333079,0.000278109135,0.000130131764,0.000131883164,0.000131379138,0.000140635110,0.000139838545,0.000140376603,0.000137699540,0.000137261725,0.000139268520,0.000079450016,0.000079435789,0.000079479171,0.000082810260,0.000084349824,0.000082349981,0.000080573887,0.000080821966,0.000083250912,0.000062697773,0.000060487325,0.000062428696,0.000064252967,0.000065296738,0.000064969974,0.000063425703,0.000065451594,0.000063142855
29,0.000453755640,0.000441868106,0.000447797261,0.000473384695,0.000464614008,0.000470169160,0.000477033765,0.000482142108,0.000477749257,0.000259198066,0.000254565104,0.000252466894,0.000287017816,0.000283912093,0.000276269704,0.000279528979,0.000280652459,0.000278161240,0.000131204322,0.000132707677,0.000132124679,0.000141706671,0.000140980074,0.000141608175,0.000138249226,0.000137754089,0.000140184272,0.000079975454,0.000079845769,0.000080065970,0.000083473340,0.000085293161,0.000082943440,0.000081010157,0.000081278194,0.000083448306,0.000063310547,0.000061105668,0.000062865715,0.000064553415,0.000065391259,0.000065386642,0.000063541027,0.000065766295,0.000063377686
30,0.000454716297,0.000442335127,0.000449023981,0.000473405704,0.000466392231,0.000471810394,0.000477852110,0.000483006628,0.000478064499,0.000260069944,0.000256079881,0.000252721677,0.000288417625,0.000285865241,0.000278248664,0.000280647109,0.000281572395,0.000279363039,0.000132719033,0.000133195034,0.000132868292,0.000142108395,0.000142338391,0.000142099419,0.000138930820,0.000138198866,0.000140372781,0.000080372822,0.000080863812,0.000080565615,0.000084109623,0.000086260051,0.000083462115,0.000081228423,0.000081923816,0.000083599230,0.000063433916,0.000061530231,0.000063224976,0.000064804453,0.000065713418,0.000065566694,0.000063978461,0.000065815334,0.000063775231
31,0.000457549535,0.000442833958,0.000449269914,0.000473730928,0.000467071170,0.000472607228,0.000478146618,0.000484931389,0.000478554600,0.000261579847,0.000258573548,0.000254321461,0.000290350980,0.000288510076,0.000280212072,0.000281462425,0.000282551601,0.000280459403,0.000133513047,0.000133714880,0.000133600698,0.000143166217,0.000143506910,0.000143320702,0.000139682670,0.000138479049,0.000141960445,0.000081152038,0.000081014270,0.000080855103,0.000084718377,0.000086994116,0.000083719087,0.000081692098,0.000082431669,0.000084340748,0.000063524497,0.000061919952,0.000063565972,0.000065085284,0.000065877862,0.000065801712,0.000064068756,0.000066114534,0.000063862204
32,0.000459711666,0.000445771342,0.000449378478,0.000473730928,0.000467697576,0.000472607228,0.000479353916,0.000485239036,0.000478754472,0.000262656966,0.000259125478,0.000257350988,0.000293127199,0.000289996394,0.000281675422,0.000282102508,0.000284601431,0.000282039620,0.000133823709,0.000134962173,0.000134618260,0.000143974378,0.000145012842,0.000144595095,0.000139822911,0.000139346222,0.000142257459,0.000081645944,0.000081642392,0.000081496629,0.000085252171,0.000087538115,0.000083949663,0.000082044564,0.000082659061,0.000085025947,0.000063988937,0.000062200501,0.000063826996,0.000065366747,0.000066522667,0.000066109308,0.000064166563,0.000066254008,0.000064112304
33,0.000460219795,0.000446960667,0.000450565136,0.000474329660,0.000469095151,0.000472607228,0.000481167387,0.000485533543,0.000479528587,0.000264067788,0.000260380019,0.000258045811,0.000295316354,0.000292836792,0.000283100926,0.000282451771,0.000285825968,0.000283272441,0.000134020083,0.000136234255,0.000135500028,0.000144950671,0.000146282049,0.000145947111,0.000140938497,0.000139909319,0.000143827490,0.000081840468,0.000082101505,0.000081581173,0.000086117062,0.000088008141,0.000084643018,0.000082493290,0.000083154473,0.000085670384,0.000064258467,0.000062505424,0.000064055775,0.000065718226,0.000066861084,0.000066518420,0.000064398306,0.000066440155,0.000064421280
34,0.000461102882,0.000450080374,0.000451061101,0.000474720554,0.000469861097,0.000473293374,0.000481545629,0.000486365319,0.000480327191,0.000266048199,0.000261110166,0.000259714738,0.000295793978,0.000294229456,0.000283529030,0.000284681753,0.000286599755,0.000285834844,0.000134311409,0.000136774786,0.000136250870,0.000145505326,0.000147375834,0.000146391814,0.000141671047,0.000140846032,0.000144123147,0.000082061277,0.000083191355,0.000081764415,0.000086197304,0.000088802059,0.000085125076,0.000083110631,0.000083780637,0.000085949953,0.000064426253,0.000062762506,0.000064480515,0.000065930542,0.000067517854,0.000066757380,0.000064810795,0.000066456627,0.000064517557
35,0.000461215960,0.000450815763,0.000451073405,0.000474744578,0.000471246302,0.000473455942,0.000481545629,0.000486365319,0.000480560234,0.000267172139,0.000261876978,0.000260078882,0.000296319597,0.000295867678,0.000284260864,0.000285875606,0.000287454051,0.000286158836,0.000135139011,0.000137645980,0.000136744615,0.000146063007,0.000148248195,0.000147059776,0.000143541184,0.000141656223,0.000144686930,0.000082476616,0.000083251676,0.000082172113,0.000086759584,0.000089241416,0.000085932145,0.000083433314,0.000084122764,0.000086025703,0.000064760762,0.000062782630,0.000064933531,0.000066434271,0.000067767915,0.000066919791,0.000064918324,0.000066771094,0.000064746125
36,0.000461557567,0.000453229611,0.000451675901,0.000474744578,0.000471267150,0.000475376063,0.000481545629,0.000486365319,0.000480560234,0.000269427432,0.000262816996,0.000262409506,0.000297820008,0.000297745313,0.000284867833,0.000287551271,0.000288112139,0.000286737764,0.000135804276,0.000139040458,0.000137949199,0.000146537677,0.000148652634,0.000148391665,0.000143959430,0.000142313444,0.000144686930,0.000082945842,0.000083571448,0.000082585156,0.000087107000,0.000089633435,0.000086557422,0.000083755958,0.000084235741,0.000086230826,0.000064897745,0.000063125825,0.000065182593,0.000067272333,0.000068065804,0.000067155663,0.000065375768,0.000066837765,0.000064917586
37,0.000461557567,0.000456912904,0.000451939428,0.000475014129,0.000472422971,0.000475663366,0.000481545629,0.000486659826,0.000481158967,0.000269722410,0.000264772307,0.000263247424,0.000299581943,0.000298419728,0.000286520861,0.000290317477,0.000288589100,0.000287025930,0.000136414262,0.000139732792,0.000138721707,0.000147214749,0.000149672337,0.000149018906,0.000144586894,0.000142587508,0.000144726083,0.000083585130,0.000083819299,0.000082716752,0.000087338397,0.000089989059,0.000086736433,0.000084425713,0.000084784732,0.000087161969,0.000065309510,0.000063521589,0.000065612757,0.000067602103,0.000068440904,0.000067512228,0.000065727311,0.000067088970,0.000065105332
38,0.000463126084,0.000457168041,0.000453156174,0.000475014129,0.000472709892,0.000476154646,0.000481545629,0.000486659826,0.000481158967,0.000272398096,0.000265599674,0.000264741141,0.000300061606,0.000300297162,0.000288371859,0.000290552976,0.000288742463,0.000288811313,0.000137771907,0.000140164214,0.000139675955,0.000147906013,0.000150526441,0.000149808374,0.000145482644,0.000143664976,0.000145287507,0.000083806183,0.000084049204,0.000082973367,0.000087775219,0.000090571144,0.000088044471,0.000085197704,0.000085011443,0.000087510727,0.000065693223,0.000063786935,0.000065852710,0.000067952089,0.000068766846,0.000067763848,0.000065944100,0.000067395080,0.000065469054
